status,decimalLongitude,decimalLatitude,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9
N,"37,684578","44,662272","12,3874998092651","21,7000007629395","3,78333330154419",722,114,42,"34,6938285827637",274,137,142,258,"7,29166650772095","26,3237075805664","734,305847167969","26,7999992370605","-0,899999976158142","27,6999988555908","5,30000019073486","21,283332824707"
N,"37,919785","44,674017","12,2375001907349","21,4500007629395","3,81666660308838",783,124,47,"34,565258026123",296,149,159,280,"7,15833330154419","26,3174018859863","723,746948242188","26,3999996185303","-0,800000011920929","27,1999988555908","5,23333311080933","21,033332824707"
N,"37,962617","44,583575","12,6500005722046","21,75","4,53333330154419",795,127,47,"35,7896766662598",305,150,157,289,"7,15000009536743","26,481481552124","710,121643066406","26,7000007629395","-0,300000011920929",27,"5,88333320617676","21,4166679382324"
N,"38,051115","45,388941","10,9708337783813","21,7666664123535","0,299999922513962",601,67,40,"16,4093265533447",180,127,157,166,"9,50833320617676","29,1666660308838","876,81103515625","28,2999992370605","-4,30000019073486","32,5999984741211","2,09999990463257","5,08333349227905"
N,"38,130017","44,504721","13,1041669845581","22,033332824707","5,15000009536743",841,130,51,"34,1154937744141",319,164,169,300,"6,875","25,8458652496338","697,236267089844","26,7999992370605","0,200000002980232","26,5999984741211","6,44999980926514","19,4500007629395"
N,"38,14864","44,732636","11,9000005722046","21,1499996185303","3,25",815,119,51,"29,8878326416016",296,158,171,277,"7,5","27,2727279663086","732,185424804688","26,2000007629395","-1,29999995231628","27,5","4,63333320617676","20,6666679382324"
N,"38,192661","44,589418","11,5625","20,6833324432373","3,18333339691162",894,130,56,"29,4791603088379",323,175,188,303,"7,60833358764648","27,7676410675049","717,771545410156","25,8999996185303","-1,5","27,3999996185303","4,56666660308838","20,283332824707"
N,"38,226882","44,872622","12,029167175293","21,9833335876465","2,59999990463257",764,105,49,"25,9711246490479",266,155,171,248,"9,05833339691162","29,9944801330566","790,958740234375","28,2000007629395",-2,"30,2000007629395","4,03333330154419","21,3166675567627"
N,"38,267278","46,644124","10,4708337783813","22,75","-1,48333334922791",542,58,33,"19,326114654541",163,109,162,140,"7,875","23,2300891876221","992,314697265625","28,5","-5,40000009536743","33,9000015258789","20,533332824707","3,80000019073486"
N,"38,29406","46,253295","10,7541666030884","22,5833320617676","-0,866666674613953",562,60,36,"17,3962440490723",164,113,164,145,"6,55833339691162","20,6236896514893","959,382995605469","27,3999996185303","-4,40000009536743","31,7999992370605","22,5833320617676","4,36666679382324"
N,"38,380793","44,831715","11,9791669845581","21,8500003814697","2,54999995231628",797,108,51,"25,405647277832",276,162,180,256,"8,89166641235352","29,6388893127441","785,969177246094","27,8999996185303","-2,09999990463257",30,"4,01666688919067","21,1666660308838"
N,"38,388578","44,375703","12,6999998092651","21,533332824707","4,65000009536743",978,146,57,"32,0134391784668",364,188,198,339,"7,04999971389771","26,8060836791992","694,43896484375","26,3999996185303","0,100000001490116","26,2999992370605","6,01666688919067","19,0666656494141"
N,"38,52017","44,405443","12,9583330154419",22,"4,53333330154419",994,144,59,"30,1975154876709",363,195,207,339,"7,61666679382324","27,8998775482178","714,79443359375","27,2000007629395","-0,100000001490116","27,3000011444092","5,95000028610229","19,6166667938232"
N,"38,652771","46,629573","10,3999996185303","22,466667175293","-1,58333325386047",562,62,34,"19,1363868713379",171,117,167,143,"7,83333349227905","23,1755428314209","984,567260742188","28,1000003814697","-5,69999980926514","33,7999992370605","20,4833335876465","4,03333330154419"
N,"38,696353","44,320392","13,1416664123535","22,1666660308838","4,70000028610229",1071,155,63,"30,8160209655762",394,205,222,367,"7,68333339691162","28,2475490570068","715,042358398438","27,5","0,300000011920929","27,2000007629395","6,18333339691162","19,783332824707"
N,"38,88764","44,193798","13,4916667938232","22,2000007629395","5,43333339691162",1209,175,70,"31,5252742767334",449,223,242,416,"7,38333368301392","28,3974380493164","690,253051757812","27,3999996185303","1,39999997615814",26,"6,98333311080933","19,7999992370605"
N,"38,910869","45,051036","11,8208332061768","22,5166664123535","1,23333334922791",729,80,46,"17,8087463378906",218,155,186,198,"9,90833377838135","30,2083339691162","865,793029785156","29,3999996185303","-3,40000009536743","32,7999992370605","2,83333349227905","17,6166667938232"
N,"38,966464","45,614027","10,5083332061768","21,7666664123535","-0,73333328962326",619,70,37,"19,1973915100098",186,129,173,160,"9,69999980926514","28,4457473754883","916,058349609375","28,6000003814697","-5,5","34,0999984741211","19,716667175293","4,73333311080933"
N,"38,972942","46,137622","10,5666666030884","22,3666667938232","-1,25",581,67,38,"19,9107685089111",179,117,170,148,"9,25","26,8895359039307","963,689270019531","28,8999996185303","-5,5","34,4000015258789","20,3666667938232","4,41666698455811"
N,"38,999524","45,795473","10,4708337783813","21,8999996185303",-1,603,69,38,"19,6028938293457",183,125,171,156,"9,67500019073486","28,2894725799561","933,759399414062","28,7000007629395","-5,5","34,2000007629395","19,8333339691162","4,56666660308838"
N,"39,028106","44,973613","11,7291669845581","22,1833324432373","1,23333334922791",756,85,50,"17,9517574310303",234,161,187,211,"9,69166660308838","30,0983428955078","851,011291503906","28,7000007629395","-3,5","32,2000007629395","2,84999990463257","21,216667175293"
N,"39,037864","47,276365","9,96666622161865","22,3999996185303","-2,60000014305115",561,64,29,"21,5823230743408",174,117,167,141,"7,93333339691162","22,6666679382324","1023,97247314453","28,2999992370605","-6,69999980926514",35,"20,466667175293","-1,60000002384186"
N,"39,159564","44,138675","13,2124996185303","22,0499992370605","4,71666669845581",1401,201,79,"31,6317749023438",519,250,273,478,"7,74166679382324","29,1040096282959","708,612976074219","27,5","0,899999976158142","26,6000003814697","6,31666660308838","19,783332824707"
N,"39,188999","44,883249","11,7416667938232","22,216667175293","1,14999997615814",847,98,56,"18,9350280761719",271,178,202,246,"9,81666660308838","30,2051277160645","856,525329589844","28,8999996185303","-3,59999990463257","32,5","2,83333325386047","21,3500003814697"
N,"39,19898","44,002805","13,6791667938232","22,0833339691162","5,76666688919067",1444,205,79,"31,5824375152588",532,253,280,488,"7,49166679382324","29,4947509765625","672,199401855469","27,3999996185303",2,"25,3999996185303","7,36666679382324","19,783332824707"
