status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
N;66,975901;39,654266;14,10416698;25,55000114;2,783333302;400;77;1;75,74172974;193;9;12;150;12,74166679;33,88740921;915,5784912;34,40000153;-3,200000048;37,60000229;8,666666985;23,86666679
N;68,872833;40,946944;14,41666698;26,51666641;1,983333349;336;51;1;68,39892578;144;8;9;137;12,3166666;31,66238213;986,6986694;35,40000153;-3,5;38,90000153;8,933333397;24,64999962
N;69,45272086;41,41197869;13,6208334;25,21666718;1,733333349;525;75;4;62,62875366;213;19;25;197;12,52500057;32,6171875;941,4120483;34,40000153;-4;38,40000153;8,116666794;23,73333359
N;69,5156919;42,9778154;13,0625;26,85000038;-0,949999988;301;47;2;59,7183876;121;12;17;102;12,74166679;29,22400665;1119,916992;36,20000076;-7,400000095;43,60000229;13,28333282;25,51666641
N;69,622419;42,302651;13,35416698;25,86666679;0,566666722;481;72;3;61,1517601;190;18;24;168;12,95833302;31,76062202;1014,863281;34,79999924;-6;40,79999924;7,783333302;24,5
N;69,71443261;42,36238501;13,0041666;25,46666718;0,166666701;491;74;4;59,68514633;192;21;27;168;12,875;31,71182251;1015,129761;34,40000153;-6,199999809;40,60000229;13,1833334;24,36666679
N;69,81851764;33,8063911;14,03333282;24,04999924;3;585;101;14;54,07897949;245;56;160;131;13,46666718;37,200737;853,7200317;30,89999962;-5,300000191;36,20000076;8,516666412;9,850000381
N;69,820139;41,1755;10,55416679;21,81666756;-1,083333373;655;100;6;57,83362579;258;33;43;220;12,0583334;32,32797241;922,4632568;30,89999962;-6,400000095;37,29999924;4,700000286;20,75
N;69,89576887;42,04603559;11,77083302;23,18333435;0,150000021;709;105;6;58,31705475;273;34;42;237;12,39166641;32,7821846;926,4557495;32,20000076;-5,599999905;37,79999924;11,41666698;22,36666679
N;69,957075;41,634562;12,10833359;23,75;0,100000024;670;97;4;60,61778259;262;27;35;240;11,9333334;31,48636627;950,1670532;32,70000076;-5,199999809;37,90000153;6,233333588;22,66666603
N;70,06824897;41,548884;8,679166794;20;-2,816666603;803;118;9;56,55513763;305;44;55;273;11,50833321;31,27264595;925,4567871;28,89999962;-7,900000095;36,79999924;2,549999952;19,14999962
N;70,3673152;39,0214751;11,29583359;22,88333321;-1,733333349;705;117;7;64,45786285;332;35;60;213;12,0583334;31,07817841;989,4407349;31,79999924;-7;38,79999924;11,51666641;22,26666641
N;70,43690063;21,53145619;26,64583397;29,96666718;21,98333359;809;355;0;161,7843933;666;2;466;2;11,27499962;51,01809692;319,3562927;35,70000076;13,60000038;22,10000038;28,04999924;23,21666718
N;70,444444;38,116389;12,6291666;24,81666756;-0,216666654;694;134;2;76,00270081;339;16;31;239;11,60833359;29,61309433;1002,239441;33,40000153;-5,800000191;39,20000076;6,466666698;23,81666756
N;70,5624327;21,17887612;26,03333282;29,05000114;21,95000076;845;372;0;162,1244202;698;1;500;1;10,95000076;52,89855194;281,87146;34,5;13,80000019;20,70000076;28,16666794;23,04999924
N;70,80061389;22,27719722;26,52916718;30,58333397;20,98333359;595;260;1;157,4376221;476;4;91;4;12,3083334;48,26797485;383,7580872;37,29999924;11,80000019;25,5;29,33333397;20,98333359
N;71,44793456;33,974232;22,92916679;32,41666794;12,36666679;527;91;14;57,28604126;212;58;154;112;13,35833359;36,79981613;822,5858765;40,79999924;4,5;36,29999924;18;18,16666603
N;71,453325;40,883135;14,27916718;26,53333282;1;171;23;2;51,56655121;67;9;14;59;11,34166622;29,45887375;1033,883789;34,70000076;-3,799999952;38,5;8,983333588;24,64999962
N;71,793907;40,369736;14,02083302;26,01666641;1,066666722;185;26;3;47,71377182;72;13;18;59;11,75833321;30,30498123;1005,610291;34,40000153;-4,400000095;38,80000305;8,800000191;24,38333321
N;72,025;38,669722;4,449999809;16,13333321;-8,383333206;237;35;3;51,00761032;102;20;20;66;12,08333302;30,43660927;1015,099609;25,29999924;-14,39999962;39,69999695;3,5;16,13333321
N;72,17185423;21,77723742;27,35833359;31,75;21,70000076;594;190;1;138,6974182;454;3;111;3;12,34999943;45,74073792;396,2600098;39;12;27;28,83333206;21,70000076
N;72,43672103;22,95197769;27,05416679;32,51666641;20,70000076;754;260;1;150,7751312;617;4;110;6;13,77500057;45,3125;461,7233276;41,5;11,10000038;30,39999962;28,68333244;22,66666603
N;72,55622484;23,02838109;27,44166756;32,53333282;21,43333435;771;268;1;151,3671417;631;4;113;6;12,78333282;45,33096695;434,5521851;40,70000076;12,5;28,20000076;28,95000076;23,41666794
N;72,733912;21,125858;27,20000076;30,56666565;22,96666718;1140;418;0;149,3699951;925;3;230;4;11,61666679;50,50724792;295,8423767;36,79999924;13,80000019;23;28,83333206;27,14999962
N;72,80787;40,515228;11,6875;23,70000076;-1,700000048;345;46;13;38,96643066;134;43;56;88;12,6916666;30,95528412;1023,792236;32,5;-8,5;41;12,55000019;22,41666603
N;72,8345458;18,938506;27,25833321;29,21666718;24,83333397;1998;677;1;141,0631866;1567;3;490;5;7,850000381;54,51389313;172,4006042;33;18,60000038;14,39999962;27,93333435;25,26666641
N;72,854802;19,254825;26,95000076;29,35000038;24,08333397;2057;747;1;146,0766602;1643;4;470;5;9,166666031;53,29457092;202,9218445;33,90000153;16,70000076;17,20000076;27,81666565;24,85000038
N;72,86150314;19,04758556;27,53750038;29,66666603;24,98333359;2074;727;1;143,4378052;1641;3;487;5;9,091666222;56,12139893;182,0480042;34,09999847;17,89999962;16,19999886;28,23333359;25,56666565
N;72,877481;21,315291;27,05416679;30,66666603;22,61666679;1093;410;0;150,5213013;869;2;186;2;12,49166584;51,19535446;312,2241211;37,29999924;12,89999962;24,39999962;28,78333282;24,13333321
N;72,959962;19,1727;27,22916794;29,58333397;24,43333435;2460;928;1;149,9487915;1993;3;506;4;9,258333206;54,14229965;198,3850708;34,20000076;17,10000038;17,10000038;27,98333359;25,20000076
N;72,98455;19,266046;27,38333321;30,01666641;24,48333359;2493;958;1;151,514328;2027;3;493;4;10;53,76343918;211,2767944;35,20000076;16,60000038;18,60000038;28,16666603;25,41666794
N;73,13149195;19,21768804;27,67916679;30,53333473;24,73333359;2892;1147;1;155,1842651;2378;3;525;3;10,79166698;53,95833588;221,7539673;36,5;16,5;20;28,38333321;25,76666641
N;73,181219;22,307159;27,48333359;32,15000153;22,14999962;858;324;0;153,8078613;724;3;102;5;12,83333302;47,1813736;390,3339844;40;12,80000019;27,20000076;28,64999962;27,33333397
N;73,1894468;18,8982423;27,46666718;30,26666641;24,73333359;3586;1423;0;156,7194214;2967;2;629;3;10,25;53,66492081;212,0284729;36;16,89999962;19,10000038;28,06666756;25,75
N;73,21967864;19,30354104;27,52916718;30,81666565;24,36666679;2971;1201;1;157,0804443;2437;3;492;3;11,47500038;52,15909576;248,4264679;37,59999847;15,60000038;21,99999809;28,28333282;25,64999962
N;73,246605;18,996963;25,71666718;28,5;23,04999924;5086;2082;2;162,8311462;4283;6;768;8;10,14999962;52,86458588;211,2337494;34,59999847;15,39999962;19,19999886;26,14999962;24,19999886
N;73,388553;18,701228;23,70833397;26,5;21,28333282;4044;1711;1;163,6844177;3373;5;572;9;10,51666737;52,58333588;210,3658447;33,5;13,5;20;23,78333282;22,58333397
N;73,431622;18,94950297;26,92499924;30,08333397;23,91666603;3489;1406;0;158,1520996;2876;2;556;3;10,86666679;52,24359512;237,4916229;36,59999847;15,80000019;20,79999924;27,58333397;25,14999962
N;73,528138;19,164305;24,4375;27,66666603;21,33333397;3109;1268;1;158,6992493;2538;4;451;7;11,02499962;51,27907181;247,4793396;34,59999847;13,10000038;21,49999809;25;22,81666756
N;73,72045138;15,70803652;27,09583282;28,81666565;25,88333321;3196;1074;0;146,2934265;2646;0;94;9;8,691666603;60,7808876;127,0014114;33,5;19,20000076;14,29999924;26,71666718;26,36666679
N;73,72848144;24,36238458;26,09583282;32,1166687;19,38333321;596;198;1;144,4492035;495;6;71;6;12,67500019;42,25;495,7201538;40,40000153;10,39999962;30,00000191;27,58333397;19,38333321
N;73,74644223;20,59366848;24,47500038;28,60000038;20,69999886;1485;514;0;145,3273773;1189;4;206;6;12,69999886;50,19762802;309,7176208;36,79999924;11,5;25,29999924;24,39999962;22,5
N;73,755876;18,366304;21,76666641;25,39999962;19,46666718;2572;1025;1;149,7492065;2011;8;80;54;11,25;51,36986542;245,0077362;33,5;11,60000038;21,89999962;21,21666718;21,41666603
N;73,75726766;24,46935383;24,84166718;30,81666756;18,16666603;665;214;2;143,8428192;545;8;84;8;12,19999981;41,49659729;491,1528015;38,79999924;9,399999619;29,39999962;26,26666641;18,16666603
N;73,770682;18,649178;24,71666718;28,26666641;21,35000038;989;328;0;123,0323486;665;3;197;7;12,70000076;52,69709778;273,390625;36,5;12,39999962;24,10000038;25,29999924;23,10000038
