status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
tenui;76,312334;10,028671;27,60000038;29,29999924;26,45000076;3168;716;9;94,10894775;1825;64;501;1825;7,433333397;67,57575989;113,9178162;33,5;22,5;11;26,45000076;28,16666603
tenui;76,95583183;11,01682444;26,29166603;28,53333282;24,70000076;893;184;8;68,93975067;381;32;173;179;10,39999962;64,99999237;149,3293152;34,90000153;18,89999962;16,00000191;25,70000076;26,39999962
tenui;78,18066828;11,68740519;27,82916641;30,35000038;25,13333321;916;196;8;76,1371994;455;27;197;154;10,79166698;62,02106857;205,342926;36,70000076;19,29999924;17,40000153;27,70000076;27,06666565
tenui;75,84514306;11,80665417;22,625;24,71666718;21,51666641;3673;1319;4;131,8425293;2730;36;301;2359;8,216666222;59,97567368;135,6214294;29,89999962;16,20000076;13,69999886;21,53333282;23,01666641
tenui;76,61118677;12,22862122;24,51666641;27,26666641;22,81666756;718;155;2;82,92327118;308;18;213;67;10,78333282;60,58052063;181,2749481;34,20000076;16,39999962;17,80000114;23,76666641;25,10000038
tenui;76,54666604;12,29442819;24,26250076;26,98333359;22,63333321;718;156;2;83,28684998;306;17;214;65;10,70833397;60,49905777;178,1231232;33,90000153;16,20000076;17,70000076;23,5;24,85000038
tenui;75,919063;12,422009;22,84583282;25,54999924;21,48333359;1782;589;1;116,13694;1166;14;229;1027;9,574999809;56,99404907;176,9881439;32,09999847;15,30000019;16,79999924;21,64999962;22,08333206
tenui;75,711055;12,439506;20,75;22,96666718;19,48333359;3360;1151;2;133,9029541;2553;18;242;2269;8,366666794;56,91609955;146,8765869;28,89999962;14,19999981;14,69999981;19,53333282;20,16666603
tenui;77,657025;12,656007;23,44166756;26,39999962;20,81666565;764;174;2;85,3420105;406;11;147;81;10,76666737;56,07638931;214,251709;33,70000076;14,5;19,20000076;23;23,16666603
tenui;77,82529201;12,74090596;24,16250038;27,06666565;21,36666679;776;172;3;83,83643341;408;14;143;84;11,00833321;56,74398804;220,156189;34,29999924;14,89999962;19,39999962;23,88333321;23,63333321
tenui;78,3660097;12,7889309;25,17083359;28,04999924;21,98333359;680;153;3;82,35321045;355;15;145;96;11,00833321;57,33507156;238,2555847;34,79999924;15,60000038;19,19999886;25,21666718;24,08333397
tenui;77,41365;12,793825;24,73333359;27,76666641;22,20000076;781;172;1;87,37683105;428;9;142;64;10,85000038;56,80627823;213,1829529;34,90000153;15,80000019;19,10000229;24,23333359;24,58333397
tenui;77,65656531;12,84386186;23,67916679;26,63333321;21,03333282;800;169;2;85,49240112;434;11;139;76;10,79166603;56,20660019;214,7245483;33,79999924;14,60000038;19,19999886;23,31666565;23,33333397
tenui;77,76983667;12,85660333;23,86666679;26,83333206;21,04999924;779;168;2;85,17578125;418;12;137;77;10,94999981;56,44329834;222,8873901;34;14,60000038;19,39999962;23,56666565;23,36666679
tenui;77,5300912;12,878924;23,90833282;26,93333435;21,38333321;812;170;2;86,51901245;448;10;136;71;10,60000038;56,08465958;212,6011505;34;15,10000038;18,89999962;23,39999962;23,73333359
tenui;77,4415806;12,9206072;24,45000076;27,53333282;21,85000038;802;169;1;87,59656525;445;7;134;64;10,84999943;56,21761322;217,8928223;34,70000076;15,39999962;19,30000114;23,93333435;24,28333282
tenui;77,62788498;12,94161249;24,01666641;26,96666718;21,36666679;811;168;2;85,99517822;443;11;135;73;10,44999981;55,88234711;215,0828094;33,90000153;15,19999981;18,70000076;23,70000076;23,56666756
tenui;77,30852723;12,96090627;24,26250076;27,39999962;21,71666718;776;167;1;88,80651093;438;6;130;59;10,625;55,92105103;217,9566803;34,5;15,5;19;23,66666794;24,23333359
tenui;77,7184638;12,9654796;23,80416679;26,73333359;21,01666641;784;165;2;85,63782501;424;11;132;73;10,49166679;55,2192955;220,7060852;33,70000076;14,69999981;19;23,58333397;23,19999886
tenui;77,49012653;13,05473221;24,11249924;27,21666718;21,46666718;810;166;1;87,58570862;451;7;128;64;10,6916666;55,6857605;220,5584564;34,40000153;15,19999981;19,20000076;23,63333321;23,88333321
tenui;77,73539925;13,06024586;23,87083244;26,88333321;21,01666641;764;162;2;86,25164795;415;10;125;71;10,89166641;55,56972885;226,6099701;34,09999847;14,5;19,59999847;23,54999924;23,31666565
tenui;77,57807097;13,09353708;23,80416679;26,86666679;21,06666565;796;164;1;87,164505;440;7;126;66;10,54166698;55,19197083;222,2964935;33,90000153;14,80000019;19,10000229;23,41666603;23,41666794
tenui;77,56932505;13,19101185;23,79583359;26,93333244;21;775;162;1;87,39724731;429;6;121;63;10,875;55,20304871;227,8202972;34,29999924;14,60000038;19,69999886;23,36666679;23,43333244
tenui;77,54196927;13,31295104;23,99583435;27,20000076;21,18333435;751;160;1;87,71640015;416;6;116;60;10,99166679;54,95833206;230,9511719;34,70000076;14,69999981;20;23,5;23,66666603
tenui;77,681433;13,369479;21,91250038;24,95000076;19,20000076;712;154;1;87,92723846;398;5;113;69;10,50833321;55,01745605;220,5893402;32,09999847;13;19,09999847;21,48333359;21,56666565
tenui;79,45561169;13,65391008;28,1875;31,86666679;24,18333435;904;182;4;77,47772217;449;21;139;249;9,641666412;49,192173;305,6299438;38,40000153;18,79999924;19,60000229;27,16666603;26,04999924
tenui;75,62891667;13,733175;24,02916718;27,11666679;22,16666603;1245;396;1;111,4186935;775;12;158;50;9,758333206;53,61721802;201,3528748;34,09999847;15,89999962;18,19999886;23,13333321;24,33333397
tenui;76,41474397;14,23424497;25,22916603;28,68333244;22,85000038;539;118;0;85,62390137;272;4;115;34;10,75833321;54,88945389;230,0835571;36;16,39999962;19,60000038;24,31666565;25,64999962
tenui;77,586168;14,349169;27,60416603;31,19999886;24,18333244;536;124;1;90,36580658;304;8;84;37;11,375;53,90995026;273,433197;38,70000076;17,60000038;21,10000038;27,11666679;26,91666603
tenui;73,95183381;15,52211537;27,25833321;29,11666679;26,03333282;3122;1063;0;145,2317505;2575;1;94;11;8,600000381;59,72221756;132,2675171;33,90000153;19,5;14,40000153;26,79999924;26,61666679
tenui;73,72045138;15,70803652;27,09583282;28,81666565;25,88333321;3196;1074;0;146,2934265;2646;0;94;9;8,691666603;60,7808876;127,0014114;33,5;19,20000076;14,29999924;26,71666718;26,36666679
tenui;74,37130183;15,90722107;22,42499924;25,26666641;21;3046;1323;0;158,0879822;2498;12;163;58;10,5666666;55,61404037;182,2273712;32,59999847;13,60000038;18,99999809;21,48333359;22,63333321
tenui;75,385399;15,969223;25,10833359;28,16666603;23,08333397;781;146;1;86,23773193;397;11;120;39;10,75;56,57894516;202,6397705;35,40000153;16,39999962;19,00000191;24,10000038;25,13333321
tenui;81,50323297;16,55018497;28,03333282;31,53333282;24,61666679;1083;242;2;103,4358521;587;14;182;25;8,233332634;47,04761505;273,6315918;37,29999924;19,79999924;17,5;28,86666679;25,85000038
