status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
N;89,25905719;24,01285214;25,56666756;29,18333435;18,98333359;1588;296;4;89,40561676;867;35;555;35;10,09999943;41,39344025;440,3528137;35,20000076;10,80000019;24,40000153;29;19,89999962
N;91,29791357;23,08810505;25,55833244;28,16666794;20,36666679;2660;582;3;96,84771729;1617;32;1371;32;9,016666412;45,08333588;341,5195618;32,59999847;12,60000038;19,99999809;27,98333359;20,36666679
N;94,86559167;21,13249717;27,32083321;30,73333359;22,79999924;709;147;0;89,6267395;366;5;223;9;11,40833282;46,94787598;322,8598022;38,59999847;14,30000019;24,29999924;28,26666641;24,94999886
N;97,0803346;5,2034119;26,78750038;27,58333206;25,79999924;1534;238;70;42,93941498;615;243;300;607;8,924999237;82,63889313;71,13124847;32,5;21,70000076;10,79999924;25,98333359;27,11666679
N;97,853262;15,248813;27,0625;28,93333244;25,98333359;4639;1257;4;116,6098328;3032;20;557;68;10,49166679;58,94195175;128,9842377;36,09999847;18,29999924;17,79999924;26,39999962;25,98333359
N;98,25148;8,730112;27,20000076;28,04999924;26,51666641;3494;590;33;72,2677536;1637;124;686;697;8,833333015;72,40436554;62,8490181;33,40000153;21,20000076;12,20000076;27,08333397;26,78333282
N;98,25988;8,896861667;27,39583397;28,29999924;26,68333244;3606;611;30;73,3290863;1698;119;706;717;8,875;72,15446472;66,17671204;33,70000076;21,39999962;12,30000114;27,20000076;27,01666641
N;98,4214859;7,986007214;27,75;28,61666679;27,01666641;2355;390;32;64,66326904;1071;133;447;573;8,333333015;75,75758362;65,67825317;33,59999847;22,60000038;10,99999809;27,28333282;27,51666641
N;98,52581;8,913903;26,76250076;27,73333359;25,96666718;2846;460;27;67,72509766;1273;114;572;298;9,108333588;72,28836823;71,64065552;33,29999924;20,70000076;12,59999847;26,45000076;26,18333435
N;98,76957833;7,760603333;28,07083321;28,95000076;27,26666641;2082;335;27;62,92134476;937;118;389;560;7,908333302;76,77992249;67,30050659;33,70000076;23,39999962;10,30000114;27,54999924;28,33333206
N;98,91822763;18,9841681;25,49166679;28,31666565;21,56666756;1114;220;3;84,69843292;585;22;341;22;11,75;51,08695602;277,9456482;36;13;23;26,86666679;21,56666756
N;98,939225;18,73863333;25,66250038;28,35000038;21,85000038;1018;189;2;82,37213898;508;18;318;18;11,59166718;51,51851273;269,2086487;35,90000153;13,39999962;22,50000191;26,98333359;21,85000038
N;98,95669721;18,51807208;25,92916679;28,70000076;22,13333321;909;169;2;81,49147797;441;15;287;15;12,10833263;51,52481842;271,9079285;36,70000076;13,19999981;23,5;26,71666718;22,13333321
N;98,975548;19,370148;25,18333435;28,13333321;21,01666641;1194;238;3;85,53057861;635;24;367;24;11,71666622;50,0712204;292,1109314;35,90000153;12,5;23,40000153;26,66666794;21,01666641
N;98,98527;7,9005439;27,69583321;28,66666603;26,81666756;2030;317;26;61,02598953;895;114;382;574;8,574999809;75,88496399;73,71498108;33,79999924;22,5;11,29999924;27,16666794;28,06666756
N;99,0230184;18,8136179;25,85833359;28,54999924;21,95000076;1068;200;3;82,93304443;541;19;332;19;11,9333334;52,56975174;272,8455505;36,09999847;13,39999962;22,69999886;27,28333282;21,95000076
N;99,02933617;7,618095;27,70416641;28,59999847;26,79999924;2062;318;26;61,47391891;907;109;379;583;8,224999428;75,45872498;71,7146225;33,59999847;22,70000076;10,89999771;27,21666718;28,04999924
N;99,12423056;18,99395278;24,50416756;27,26666641;20,66666603;1111;219;2;84,64754486;578;19;347;19;11,0583334;49,58893967;275,2640076;34,79999924;12,5;22,29999924;25,79999924;20,66666603
N;99,13091606;14,36817928;25,86666679;27,83333397;23,95000076;1402;259;3;78,23959351;677;26;315;59;10,26666641;59,00382996;149,974762;34,5;17,10000038;17,39999962;25,66666603;24,38333321
N;99,13280487;14,14137414;27,125;29,01666641;25,43333244;1350;248;4;78,3573761;654;26;300;63;10,48333359;60,24904251;140,3809662;35,79999924;18,39999962;17,39999962;26,76666641;25,98333359
N;99,26556389;18,589275;24,64583397;27,35000038;20,86666679;1079;201;2;84,10649109;535;15;354;48;11,35833359;50,48148346;271,1629944;35,09999847;12,60000038;22,49999809;25,88333321;20,91666603
N;99,39738885;13,44812245;27,18333435;28,86666679;25,48333359;948;205;4;85,23696899;496;15;184;75;9,899999619;62,65822983;130,8422699;34,79999924;19;15,79999924;26,98333359;25,88333321
N;99,429925;13,92496667;27,95833206;29,81666565;26,18333244;1048;225;4;83,86300659;539;19;231;65;10,51666641;61,50097275;140,9841003;36,5;19,39999962;17,10000038;27,68333244;26,64999962
N;99,548871;15,02170697;27,30833244;29,44999886;25,04999924;1121;234;5;81,84044647;579;26;273;65;11,33333397;58,11965942;171,3957672;36,79999924;17,29999924;19,5;27,03333282;25,64999962
N;99,67269397;19,70632385;25,11249924;27,93333244;21,14999962;1301;262;6;84,47729492;692;32;404;32;11,70833302;51,57856369;284,8693848;35,29999924;12,60000038;22,69999886;26,73333359;21,14999962
N;99,7064501;17,0187799;27,69166565;30,31666565;24,53333282;1126;222;3;84,61914825;555;21;259;47;11,05000019;52,87080765;228,41185;37,70000076;16,79999924;20,90000153;27,78333282;24,94999886
N;99,81288;19,176422;24,82500076;27,68333244;20,75;1103;209;3;82,16423035;561;21;361;48;11,33333302;50,37036896;289,5411682;35;12,5;22,5;26,29999924;20,83333397
N;99,84122403;6,328226483;26,88750076;27,60000038;26,39999962;2406;385;38;59,06162262;1006;151;281;955;8,241666794;78,49206543;50,77245712;32,70000076;22,20000076;10,5;26,48333359;27,26666641
N;99,87311667;20,43628667;24,57916641;27,33333397;20,63333321;1768;382;8;91,9146347;1002;40;525;40;11,22500038;51,02272415;283,1836853;34,40000153;12,39999962;22,00000191;26,31666565;20,63333321
N;99,87365;9,162475;27,84583282;29,01666641;26,48333359;1740;420;38;74,5160141;904;168;314;709;7,641667366;72,77778625;101,5663452;33,5;23;10,5;26,75;27,33333397
N;99,96017824;9,573600701;27,52916718;28,69999886;26,09999847;1640;413;48;76,53476715;862;186;281;682;6,924999714;69,24999237;106,1615067;32,79999924;22,79999924;10;26,43333244;27,81666565
N;99,96241167;12,46873333;27,6875;29,03333282;26,05000114;884;209;9;76,93893433;448;37;187;129;7,375;63,03419113;120,6068802;33,29999924;21,60000038;11,69999886;27,23333359;26,23333359
N;99,962871;12,727257;27,94166565;29,29999924;26,33333397;859;207;6;82,20194244;448;24;189;110;7,349999905;62,28813934;119,4272842;33,5;21,70000076;11,79999924;27,5;26,5
N;99,99785642;19,47024956;25,54999924;28,33333397;21,68333244;1233;244;5;84,93781281;658;26;390;55;12,11666679;52,4530983;274,6651001;35,90000153;12,80000019;23,10000229;26,96666718;21,79999924
N;100,040411;9,517171;27,61249924;28,75;26,23333359;1700;424;49;75,69995117;891;189;291;710;6,80833292;69,47278595;102,3169022;32,79999924;23;9,799999237;26,51666641;27,93333244
N;100,2525354;16,80673867;27,94583321;30,16666603;25,16666794;1239;227;5;82,9592514;620;28;267;39;10,59166622;55,45375443;201,3190002;37,09999847;18;19,09999847;28,39999962;25,40000153
N;100,323277;16,51502;27,75416756;29,94999886;24,96666718;1164;222;4;84,13038635;588;21;260;36;10,14166641;55,1177597;200,357132;36,59999847;18,20000076;18,39999771;28,23333359;25,20000076
N;100,353056;-0,95;26,03333282;26,46666718;25,73333359;3947;442;241;19,77006149;1255;828;861;959;7,766666412;87,26591492;31,57481575;30,60000038;21,70000076;8,899999619;25,85000038;26,25
N;100,3698248;20,0286241;25,49166679;28,13333321;21,71666718;1633;365;8;92,29750061;943;37;473;69;11,76666641;53,00300217;268,1911926;35,20000076;13;22,20000076;27,08333397;21,81666756
N;100,397538;19,145686;25,41250038;28,04999924;21,60000038;1181;241;4;86,94841003;641;20;379;40;12,02499962;53,20796585;270,8079224;35,5;12,89999962;22,60000038;26,88333321;21,64999962
N;100,4637057;5,599368974;27,28333282;27,89999962;26,79999924;2537;403;81;43,19066238;1006;327;600;843;8,700000763;82,07545471;46,58003998;32,90000153;22,29999924;10,60000229;26,83333206;27,53333282
N;100,4690386;13,65424568;28,4375;29,86666679;26,73333359;1333;292;6;86,61125183;713;29;364;64;8,791666985;63,24939728;125,989296;34,70000076;20,79999924;13,90000153;28,39999962;26,93333244
N;100,508762;6,998703;27,45416641;28,33333397;26,45000076;1741;365;24;71,01397705;897;134;294;723;8,908333778;78,83480072;75,93235016;33,70000076;22,39999962;11,30000114;26,54999924;27,36666679
N;100,5617133;13,699595;28,45416641;29,83333206;26,78333282;1414;314;6;86,79353333;755;32;394;61;8,574999809;63,05147552;123,0568619;34,59999847;21;13,59999847;28,41666794;26,98333359
N;100,5804991;13,8536436;28,50416565;29,93333435;26,75;1196;271;4;88,05558777;644;22;339;49;9,158332825;63,59953308;128,513504;35;20,60000038;14,39999962;28,48333359;26,96666718
N;100,581609;14,34321765;28,14166641;29,88333321;26,03333282;1026;229;4;85,70450592;545;18;215;46;9,916666985;60,46748352;154,0046082;36;19,60000038;16,39999962;28,13333321;26,30000114
N;100,6552667;13,51745631;28,36249924;29,79999924;26,70000076;1368;307;7;86,32816315;723;39;388;69;8,091667175;61,30051041;125,0295181;34,29999924;21,10000038;13,19999886;28,31666565;26,85000038
N;100,6849442;13,77122593;28,39583397;29,81666756;26,64999962;1328;300;7;85,64757538;701;34;376;62;8,908332825;62,73474503;128,3011169;34,79999924;20,60000038;14,19999886;28,39999962;26,83333206
N;100,7734922;12,91053608;27,84166718;29,29999924;26,08333206;1188;250;11;79,64808655;597;43;326;105;7,066666603;60,91952896;130,2241821;32,90000153;21,29999924;11,60000229;27,91666794;26,23333359
N;100,8482701;13,84668198;27,97500038;29,51666641;26,04999924;1238;280;8;83,4591217;643;33;355;61;8,833333969;60,91954422;140,5427704;34,70000076;20,20000076;14,5;28,04999924;26,20000076
N;100,87023;24,43548;20,3125;24,93333435;14,19999981;1027;209;13;85,11769104;578;47;578;48;11,70833302;48,58229828;445,8196106;29,89999962;5,800000191;24,09999847;24,93333435;15,96666622
N;100,8975893;12,86509102;27,98749924;29,39999962;26,29999924;1253;261;13;77,1492157;615;50;354;112;7,974999905;61,82170486;125,5374527;33,5;20,60000038;12,89999962;27,96666718;26,5
N;100,9125254;12,66159531;27,9375;29,33333206;26,26666641;1264;262;16;73,58332062;597;64;355;131;7,758333206;63,07588577;123,98909;33,09999847;20,79999924;12,29999924;27,93333244;26,45000076
N;100,9304892;13,02670611;28,34166718;29,64999962;26,83333206;1257;254;12;78,90805817;626;45;360;97;8,433333397;64,37658691;113,7348328;34;20,89999962;13,10000038;28,25;27,03333282
N;100,9858246;13,40987775;28,09166718;29,53333282;26,36666679;1260;267;7;81,29347229;644;37;368;66;8,149999619;62,21373749;127,4011917;34;20,89999962;13,10000038;28,04999924;26,60000038
N;100,992541;15,870032;27,71249962;29,93333244;24,98333359;1225;235;3;83,72190857;609;17;302;27;11,32499981;58,07692337;193,5919342;36,79999924;17,29999924;19,5;28,01666641;25,51666641
N;101,0346361;13,20563889;27,78333282;29,10000038;26,28333282;1266;257;10;77,68292999;625;48;372;85;8,599999428;64,17910767;113,6048355;33,59999847;20,20000076;13,39999771;27,68333435;26,51666641
N;101,08777;21,98929;19,6875;22,79999924;15,10000038;1570;299;18;80,02950287;824;67;655;73;10,52499962;52,10396194;327,2830505;28,29999924;8,100000381;20,19999886;22,43333435;16,58333397
N;101,1223253;14,10598153;27,95416641;29,58333206;25,95000076;1351;276;6;81,25530243;674;30;286;51;9,625;59,78260803;144,9209442;35,5;19,39999962;16,10000038;27,95000076;26,23333359
N;101,154289;12,801142;27,85416603;29,14999962;26,36666679;1345;252;12;71,64443207;619;63;407;106;8,691666603;64,86319733;112,2994232;33,59999847;20,20000076;13,39999771;27,76666641;26,56666756
